,price
2499,260000
2500,334000
2501,310000
2502,268000
2503,262000
2504,176400
2505,197000
2506,151000
2507,147400
2508,149900
2509,144152
2510,166000
2511,183900
2512,165000
2513,139000
2514,200000
2515,221000
2516,270000
2517,165000
2518,214000
2519,188000
2520,190000
2521,170000
2522,385000
2523,146500
2524,170000
2525,262500
2526,179900
2527,250000
2528,165150
2529,164500
2530,140000
2531,135500
2532,142000
2533,155000
2534,157500
2535,138500
2536,140000
2537,124400
2538,158000
2539,146000
2540,190000
2541,136500
2542,129900
2543,145000
2544,185900
2545,160000
2546,167000
2547,157500
2548,140000
2549,150000
2550,151500
2551,129800
2552,137000
2553,137000
2554,121600
2555,85500
2556,79900
2557,127000
2558,161000
2559,146500
2560,135000
2561,137900
2562,133000
2563,137000
2564,121000
2565,119000
2566,172000
2567,98600
2568,226000
2569,118000
2570,235000
2571,135000
2572,132500
2573,143000
2574,132000
2575,145250
2576,162000
2577,148000
2578,141000
2579,153000
2580,134450
2581,135960
2582,156000
2583,140000
2584,139500
2585,155000
2586,127000
2587,133500
2588,125000
2589,142000
2590,167000
2591,159000
2592,180000
2593,127000
2594,112000
2595,99800
2596,117000
2597,108480
2598,68000
2599,86900
2600,120000
2601,155500
2602,80000
2603,105000
2604,160000
2605,170000
2606,160000
2607,159950
2608,165000
2609,159000
2610,147000
2611,115000
2612,159500
2613,120000
2614,129900
2615,183000
2616,157500
2617,277500
2618,207500
2619,147500
2620,135000
2621,109500
2622,109900
2623,133700
2624,81400
2625,87500
2626,93500
2627,119000
2628,141000
2629,146000
2630,155000
2631,134500
2632,120000
2633,105000
2634,124000
2635,169000
2636,107000
2637,135000
2638,111500
2639,156500
2640,178000
2641,139900
2642,105000
2643,110000
2644,111500
2645,108000
2646,111500
2647,124000
2648,105000
2649,116000
2650,96900
2651,135500
2652,139000
2653,61500
2654,120000
2655,126175
2656,64000
2657,137000
2658,87000
2659,163000
2660,155000
2661,79000
2662,144000
2663,114504
2664,157000
2665,125000
2666,475000
2667,93500
2668,125000
2669,64500
2670,100000
2671,140200
2672,202500
2673,159000
2674,119900
2675,114500
2676,115000
2677,75000
2678,88000
2679,80500
2680,149000
2681,110000
2682,110500
2683,89000
2684,113000
2685,109000
2686,220000
2687,129000
2688,117000
2689,52500
2690,107000
2691,116500
2692,72000
2693,119500
2694,125500
2695,91000
2696,84500
2697,90000
2698,137500
2699,150000
2700,131000
2701,130000
2702,125000
2703,80000
2704,157000
2705,148000
2706,90000
2707,154500
2708,153600
2709,164500
2710,132000
2711,142500
2712,158000
2713,149500
2714,165000
2715,180000
2716,160500
2717,156500
2718,157000
2719,172500
2720,155000
2721,170000
2722,105000
2723,145000
2724,168000
2725,278000
2726,164000
2727,225000
2728,130000
2729,142500
2730,148400
2731,190000
2732,146000
2733,128000
2734,225000
2735,274970
2736,235000
2737,415000
2738,182000
2739,135000
2740,137000
2741,136900
2742,149900
2743,123500
2744,93000
2745,91500
2746,180000
2747,209000
2748,215000
2749,224500
2750,229800
2751,183600
2752,194000
2753,193879
2754,221500
2755,204900
2756,239799
2757,233555
2758,260000
2759,294900
2760,209700
2761,225000
2762,181000
2763,220000
2764,190000
2765,180000
2766,280000
2767,158900
2768,148000
2769,145000
2770,187000
2771,193000
2772,156000
2773,235000
2774,217000
2775,214000
2776,196000
2777,217000
2778,200000
2779,192500
2780,205000
2781,132500
2782,157500
2783,174000
2784,128500
2785,128500
2786,149900
2787,119900
2788,137000
2789,255000
2790,222000
2791,214000
2792,220000
2793,275000
2794,197000
2795,230000
2796,268500
2797,210900
2798,227000
2799,237000
2800,274300
2801,216837
2802,133000
2803,155900
2804,233230
2805,207000
2806,195000
2807,200000
2808,203160
2809,195800
2810,212900
2811,196500
2812,198000
2813,173900
2814,163990
2815,164990
2816,98000
2817,149900
2818,102000
2819,127500
2820,127500
2821,119900
2822,196500
2823,117250
2824,229000
2825,145000
2826,140000
2827,142500
2828,134000
2829,130000
2830,130000
2831,137500
2832,130000
2833,97900
2834,92000
2835,107000
2836,81000
2837,104900
2838,115000
2839,125000
2840,116000
2841,83000
2842,118500
2843,35000
2844,121000
2845,160000
2846,140000
2847,137000
2848,128000
2849,160000
2850,138887
2851,149000
2852,102000
2853,167000
2854,200100
2855,131000
2856,112000
2857,140000
2858,195000
2859,230000
2860,194000
2861,137500
2862,250000
2863,218000
2864,239000
2865,199500
2866,210000
2867,230000
2868,217500
2869,257000
2870,157000
2871,223000
2872,102000
2873,145400
2874,72000
2875,85000
2876,106500
2877,139000
2878,108000
2879,51689
2880,35311
2881,115000
2882,78000
2883,375000
2884,300000
2885,242500
2886,145000
2887,209000
2888,135000
2889,148000
2890,171000
2891,335000
2892,230000
2893,250764
2894,228000
2895,176000
2896,180000
2897,250000
2898,202000
2899,312500
2900,320000
2901,369900
2902,359900
2903,81500
2904,215000
2905,164000
2906,153500
2907,84500
2908,104500
2909,127000
2910,151400
2911,126500
2912,146500
2913,73000
2914,79400
2915,140000
2916,92000
2917,87550
2918,79500
2919,90500
2920,71000
2921,150900
2922,188000
2923,160000
2924,131000
2925,142500
2926,131000
2927,132000
2928,170000
2929,188000
